1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0,461732283;0,457716535;0,419370079;0,39503937;0,375354331;0,368425197;0,366614173;0,377244094;0,367637795;0,372519685;0,385905512;0,397086614;0,403700787;0,402598425;0,418425197;0,433622047;0,484015748;0,527874016;0,52992126;0,521653543;0,514566929;0,506850394;0,48480315;0,440551181
0,375354331;0,368425197;0,366614173;0,377244094;0,367637795;0,372519685;0,385905512;0,397086614;0,403700787;0,402598425;0,418425197;0,433622047;0,484015748;0,527874016;0,52992126;0,521653543;0,514566929;0,506850394;0,48480315;0,440551181;0,402047244;0,373700787;0,354724409;0,342677165
0,367637795;0,372519685;0,385905512;0,397086614;0,403700787;0,402598425;0,418425197;0,433622047;0,484015748;0,527874016;0,52992126;0,521653543;0,514566929;0,506850394;0,48480315;0,440551181;0,402047244;0,373700787;0,354724409;0,342677165;0,343464567;0,356456693;0,375511811;0,38984252
0,403700787;0,402598425;0,418425197;0,433622047;0,484015748;0,527874016;0,52992126;0,521653543;0,514566929;0,506850394;0,48480315;0,440551181;0,402047244;0,373700787;0,354724409;0,342677165;0,343464567;0,356456693;0,375511811;0,38984252;0,398346457;0,426220472;0,442755906;0,450787402
0,484015748;0,527874016;0,52992126;0,521653543;0,514566929;0,506850394;0,48480315;0,440551181;0,402047244;0,373700787;0,354724409;0,342677165;0,343464567;0,356456693;0,375511811;0,38984252;0,398346457;0,426220472;0,442755906;0,450787402;0,445433071;0,440314961;0,435748031;0,456220472
0,514566929;0,506850394;0,48480315;0,440551181;0,402047244;0,373700787;0,354724409;0,342677165;0,343464567;0,356456693;0,375511811;0,38984252;0,398346457;0,426220472;0,442755906;0,450787402;0,445433071;0,440314961;0,435748031;0,456220472;0,508425197;0,559606299;0,557874016;0,556771654
0,402047244;0,373700787;0,354724409;0,342677165;0,343464567;0,356456693;0,375511811;0,38984252;0,398346457;0,426220472;0,442755906;0,450787402;0,445433071;0,440314961;0,435748031;0,456220472;0,508425197;0,559606299;0,557874016;0,556771654;0,543385827;0,528346457;0,491653543;0,451968504
0,343464567;0,356456693;0,375511811;0,38984252;0,398346457;0,426220472;0,442755906;0,450787402;0,445433071;0,440314961;0,435748031;0,456220472;0,508425197;0,559606299;0,557874016;0,556771654;0,543385827;0,528346457;0,491653543;0,451968504;0,41519685;0,378346457;0,369055118;0,352834646
0,398346457;0,426220472;0,442755906;0,450787402;0,445433071;0,440314961;0,435748031;0,456220472;0,508425197;0,559606299;0,557874016;0,556771654;0,543385827;0,528346457;0,491653543;0,451968504;0,41519685;0,378346457;0,369055118;0,352834646;0,356220472;0,367401575;0,397007874;0,421338583
0,445433071;0,440314961;0,435748031;0,456220472;0,508425197;0,559606299;0,557874016;0,556771654;0,543385827;0,528346457;0,491653543;0,451968504;0,41519685;0,378346457;0,369055118;0,352834646;0,356220472;0,367401575;0,397007874;0,421338583;0,442519685;0,465433071;0,484724409;0,494173228
