1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0,559291339;0,560314961;0,531181102;0,515905512;0,48496063;0,480472441;0,484566929;0,498346457;0,480629921;0,493307087;0,509527559;0,501889764;0,510629921;0,515433071;0,502519685;0,519606299;0,576692913;0,628740157;0,627322835;0,64007874;0,625590551;0,611496063;0,581496063;0,547165354
0,48496063;0,480472441;0,484566929;0,498346457;0,480629921;0,493307087;0,509527559;0,501889764;0,510629921;0,515433071;0,502519685;0,519606299;0,576692913;0,628740157;0,627322835;0,64007874;0,625590551;0,611496063;0,581496063;0,547165354;0,519685039;0,491181102;0,467559055;0,472598425
0,480629921;0,493307087;0,509527559;0,501889764;0,510629921;0,515433071;0,502519685;0,519606299;0,576692913;0,628740157;0,627322835;0,64007874;0,625590551;0,611496063;0,581496063;0,547165354;0,519685039;0,491181102;0,467559055;0,472598425;0,460866142;0,480708661;0,492519685;0,523858268
0,510629921;0,515433071;0,502519685;0,519606299;0,576692913;0,628740157;0,627322835;0,64007874;0,625590551;0,611496063;0,581496063;0,547165354;0,519685039;0,491181102;0,467559055;0,472598425;0,460866142;0,480708661;0,492519685;0,523858268;0,52015748;0,541102362;0,556456693;0,557244094
0,576692913;0,628740157;0,627322835;0,64007874;0,625590551;0,611496063;0,581496063;0,547165354;0,519685039;0,491181102;0,467559055;0,472598425;0,460866142;0,480708661;0,492519685;0,523858268;0,52015748;0,541102362;0,556456693;0,557244094;0,552992126;0,541653543;0,543228346;0,549685039
0,625590551;0,611496063;0,581496063;0,547165354;0,519685039;0,491181102;0,467559055;0,472598425;0,460866142;0,480708661;0,492519685;0,523858268;0,52015748;0,541102362;0,556456693;0,557244094;0,552992126;0,541653543;0,543228346;0,549685039;0,612125984;0,665826772;0,662125984;0,655511811
0,519685039;0,491181102;0,467559055;0,472598425;0,460866142;0,480708661;0,492519685;0,523858268;0,52015748;0,541102362;0,556456693;0,557244094;0,552992126;0,541653543;0,543228346;0,549685039;0,612125984;0,665826772;0,662125984;0,655511811;0,642598425;0,623385827;0,59488189;0,558818898
0,460866142;0,480708661;0,492519685;0,523858268;0,52015748;0,541102362;0,556456693;0,557244094;0,552992126;0,541653543;0,543228346;0,549685039;0,612125984;0,665826772;0,662125984;0,655511811;0,642598425;0,623385827;0,59488189;0,558818898;0,511181102;0,478661417;0,460944882;0,454015748
0,52015748;0,541102362;0,556456693;0,557244094;0,552992126;0,541653543;0,543228346;0,549685039;0,612125984;0,665826772;0,662125984;0,655511811;0,642598425;0,623385827;0,59488189;0,558818898;0,511181102;0,478661417;0,460944882;0,454015748;0,453307087;0,46992126;0,492283465;0,540472441
0,552992126;0,541653543;0,543228346;0,549685039;0,612125984;0,665826772;0,662125984;0,655511811;0,642598425;0,623385827;0,59488189;0,558818898;0,511181102;0,478661417;0,460944882;0,454015748;0,453307087;0,46992126;0,492283465;0,540472441;0,576377953;0,611259843;0,617007874;0,643622047
